Frame,Time (s),Face Index,Center X,Center Y
0,0.00,0,2586,686
0,0.00,1,934,671
0,0.00,2,2951,706
0,0.00,3,1326,601
1,0.03,0,2586,686
1,0.03,1,935,673
1,0.03,2,1328,601
1,0.03,3,2951,706
2,0.07,0,2586,686
2,0.07,1,933,671
2,0.07,2,1329,601
2,0.07,3,2951,706
3,0.10,0,2586,686
3,0.10,1,934,670
3,0.10,2,1329,601
3,0.10,3,2951,705
4,0.13,0,2584,685
4,0.13,1,934,672
4,0.13,2,1326,601
4,0.13,3,2949,705
5,0.17,0,2584,685
5,0.17,1,934,672
5,0.17,2,1325,601
5,0.17,3,2949,705
6,0.20,0,2584,684
6,0.20,1,934,673
6,0.20,2,1323,602
6,0.20,3,2948,704
7,0.23,0,2584,684
7,0.23,1,934,674
7,0.23,2,1325,602
7,0.23,3,2948,705
8,0.27,0,2585,685
8,0.27,1,934,674
8,0.27,2,1328,601
8,0.27,3,2949,706
9,0.30,0,2585,685
9,0.30,1,934,673
9,0.30,2,2948,705
9,0.30,3,1326,602
10,0.33,0,2585,685
10,0.33,1,934,675
10,0.33,2,1327,601
10,0.33,3,2948,705
11,0.37,0,2585,684
11,0.37,1,934,676
11,0.37,2,2948,706
11,0.37,3,1325,601
12,0.40,0,2585,683
12,0.40,1,933,674
12,0.40,2,1320,603
12,0.40,3,2946,706
13,0.43,0,2585,683
13,0.43,1,934,675
13,0.43,2,1322,603
13,0.43,3,2947,707
14,0.47,0,2586,682
14,0.47,1,933,675
14,0.47,2,2947,706
14,0.47,3,1323,601
15,0.50,0,2584,682
15,0.50,1,933,675
15,0.50,2,1324,603
15,0.50,3,2946,705
16,0.53,0,2586,683
16,0.53,1,934,677
16,0.53,2,1322,601
16,0.53,3,2947,706
17,0.57,0,2588,684
17,0.57,1,934,676
17,0.57,2,2949,707
17,0.57,3,1325,598
18,0.60,0,2589,684
18,0.60,1,935,674
18,0.60,2,2949,707
18,0.60,3,1325,598
19,0.63,0,2588,684
19,0.63,1,935,677
19,0.63,2,2948,708
19,0.63,3,1325,597
20,0.67,0,2588,683
20,0.67,1,934,675
20,0.67,2,2948,707
20,0.67,3,1324,598
21,0.70,0,2589,684
21,0.70,1,935,675
21,0.70,2,2950,708
21,0.70,3,1326,598
22,0.73,0,2589,684
22,0.73,1,937,673
22,0.73,2,2951,706
22,0.73,3,1326,600
23,0.77,0,2588,683
23,0.77,1,936,672
23,0.77,2,2951,706
23,0.77,3,1326,600
24,0.80,0,2588,682
24,0.80,1,934,673
24,0.80,2,2951,705
24,0.80,3,1323,599
25,0.83,0,2588,682
25,0.83,1,934,673
25,0.83,2,2951,705
25,0.83,3,1324,599
26,0.87,0,2588,684
26,0.87,1,936,673
26,0.87,2,2951,704
26,0.87,3,1324,599
27,0.90,0,2588,684
27,0.90,1,936,673
27,0.90,2,2952,705
27,0.90,3,1324,599
28,0.93,0,2588,684
28,0.93,1,935,673
28,0.93,2,2952,705
28,0.93,3,1324,600
29,0.97,0,2588,685
29,0.97,1,936,672
29,0.97,2,2952,706
29,0.97,3,1325,601
30,1.00,0,2589,686
30,1.00,1,936,671
30,1.00,2,2952,707
